Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
126919418,Unstressable: A Practical Guide to Stress-Free Living,Alice Law,"Law, Alice",Alice Law,"=""""","=""""",0,4.05,St. Martin's Essentials,Kindle Edition,359,2024,,,2024/05/06,currently-reading,currently-reading (#314),currently-reading,,,,1,0
211411184,"Cryptography and Network Security: Principles and Practice, 8th Edition by Pearson",William Stallings,"Stallings, William",,"=""935705491X""","=""9789357054911""",0,0.0,Pearson,Kindle Edition,1484,2024,,,2024/05/06,currently-reading,currently-reading (#313),currently-reading,,,,1,0
59473109,"Armored (Armored, #1)",Mark Greaney,"Greaney, Mark",,"=""""","=""""",0,4.37,Berkley,Kindle Edition,510,2022,2022,,2024/04/12,currently-reading,currently-reading (#312),currently-reading,,,,1,0
133287000,Mal Goes to War,Edward Ashton,"Ashton, Edward",,"=""""","=""""",0,4.00,St. Martin's Press,Kindle Edition,287,2024,2024,,2024/04/11,currently-reading,currently-reading (#311),currently-reading,,,,1,0
133286787,The Stoic Mindset: Living the Ten Principles of Stoicism,Mark Tuitert,"Tuitert, Mark",,"=""""","=""""",0,3.54,St. Martin's Essentials,Kindle Edition,117,2024,,,2024/04/11,currently-reading,currently-reading (#310),currently-reading,,,,1,0
206991464,Software Supply Chain Security,Cassie Crossley,"Crossley, Cassie",,"=""1098133668""","=""9781098133665""",0,0.0,O'Reilly Media,Kindle Edition,421,2024,,,2024/03/25,currently-reading,currently-reading (#309),currently-reading,,,,1,0
52747169,"Don't Overthink It: Make Easier Decisions, Stop Second-Guessing, and Bring More Joy to Your Life",Anne Bogel,"Bogel, Anne",,"=""1493421409""","=""""",0,3.88,Baker Books,Kindle Edition,224,2020,2020,,2024/03/25,currently-reading,currently-reading (#308),currently-reading,,,,1,0
157998171,Supercommunicators: How to Unlock the Secret Language of Connection,Charles Duhigg,"Duhigg, Charles",,"=""0593243935""","=""9780593243930""",0,4.07,Random House,ebook,307,2024,2024,,2024/03/25,currently-reading,currently-reading (#307),currently-reading,,,,1,0
11790297,The Greatness Guide: One of the World's Most Successful Coaches Shares His Secrets for Personal and Business Mastery,Robin S. Sharma,"Sharma, Robin S.",,"=""""","=""""",0,4.07,,Kindle Edition,238,,2006,,2024/03/23,currently-reading,currently-reading (#306),currently-reading,,,,1,0
193867776,Burp Suite Cookbook: Web application security made easy with Burp Suite,Dr. Sunny Wear,"Wear, Dr. Sunny",,"=""1835088619""","=""9781835088616""",0,0.0,Packt Publishing,Kindle Edition,450,2023,,,2024/03/23,currently-reading,currently-reading (#305),currently-reading,,,,1,0
34531752,"Million Dollar Habits: 27 Powerful Habits to Wire Your Mind For Success, Become Truly Happy, and Achieve Financial Freedom (Habits of Highly Effective People Book 1)",Stellan Moreira,"Moreira, Stellan",,"=""""","=""""",0,3.78,,Kindle Edition,238,2017,,,2024/03/23,currently-reading,currently-reading (#304),currently-reading,,,,1,0
31575920,"Chase the Lion: If Your Dream Doesn't Scare You, It's Too Small",Mark Batterson,"Batterson, Mark",,"=""""","=""""",0,4.24,Multnomah,Kindle Edition,213,2016,2016,,2024/03/23,currently-reading,currently-reading (#303),currently-reading,,,,1,0
55244446,The 12 Traits of the Greats: Mastering The Qualities Of Uncommon Achievers,Dave  Martin,"Martin, Dave",Ed Young,"=""""","=""""",0,4.07,Harrison House Publishers,Kindle Edition,290,2020,2011,,2024/03/23,currently-reading,currently-reading (#302),currently-reading,,,,1,0
203180173,The Art of Laziness: Overcome Procrastination & Improve Your Productivity,Library Mindset,"Mindset, Library",,"=""""","=""""",0,3.88,,Kindle Edition,96,2023,,,2024/03/19,currently-reading,currently-reading (#301),currently-reading,,,,1,0
122991137,Perfect Shot: A Thriller (Special Agent Alexandra Martel Book 1),Steve Urszenyi,"Urszenyi, Steve",,"=""""","=""""",0,4.10,Minotaur Books,Kindle Edition,360,2023,2023,,2024/01/25,currently-reading,currently-reading (#300),currently-reading,,,,1,0
18165285,The 5 Elements of Effective Thinking,Edward B. Burger,"Burger, Edward B.",Michael Starbird,"=""""","=""""",0,4.00,Princeton University Press,Kindle Edition,168,2012,2012,,2024/01/13,currently-reading,currently-reading (#299),currently-reading,,,,1,0
199374092,"Ultimate Blockchain Security Handbook: Advanced Cybersecurity Techniques and Strategies for Risk Management, Threat Modeling, Pen Testing, and Smart Contract Defense for Blockchain",Taha Sajid,"Sajid, Taha",,"=""""","=""""",0,0.0,Orange Education Pvt Ltd,Kindle Edition,293,2023,,,2023/12/18,currently-reading,currently-reading (#298),currently-reading,,,,1,0
128148179,Packet Manipulation with Scapy: Build your own network hacking tools with Scapy in Python (Ethical Hacking with Python),Abdeladim Fadheli,"Fadheli, Abdeladim",,"=""""","=""""",0,5.00,,Kindle Edition,113,2023,,,2023/12/18,currently-reading,currently-reading (#297),currently-reading,,,,1,0
201278480,"The Negativity Fast: Proven Techniques to Increase Positivity, Reduce Fear, and Boost Success",Anthony Iannarino,"Iannarino, Anthony",,"=""1119985986""","=""9781119985983""",0,3.81,Wiley,Kindle Edition,212,2023,,,2023/11/16,currently-reading,currently-reading (#292),currently-reading,,,,1,0
99061230,Learning Digital Identity,Phillip J Windley,"Windley, Phillip J",,"=""1098117654""","=""9781098117658""",0,4.67,O'Reilly Media,Kindle Edition,768,2023,,,2023/12/04,currently-reading,currently-reading (#296),currently-reading,,,,1,0
202680950,Network Protocols for Internet of Things (IoT) : Implementations using Python,Md. Ariful Islam,"Islam, Md. Ariful",,"=""""","=""""",0,0.0,,Kindle Edition,300,2023,,,2023/12/04,currently-reading,currently-reading (#295),currently-reading,,,,1,0
62041040,Python for Data Analysis,Wes McKinney,"McKinney, Wes",,"=""""","=""""",0,4.17,O'Reilly Media,Kindle Edition,989,2022,2011,,2023/12/04,currently-reading,currently-reading (#294),currently-reading,,,,1,0
63338662,10x Is Easier Than 2x: How World-Class Entrepreneurs Achieve More by Doing Less,Dan  Sullivan,"Sullivan, Dan",Benjamin P. Hardy,"=""1401969968""","=""9781401969967""",0,4.27,Hay House Business,Kindle Edition,288,2023,,,2023/11/16,currently-reading,currently-reading (#293),currently-reading,,,,1,0
125071270,Writing for Busy Readers: Communicate More Effectively in the Real World,Todd Rogers,"Rogers, Todd",Jessica Lasky-Fink,"=""0593187490""","=""9780593187494""",0,3.94,Dutton,Kindle Edition,253,2023,,,2023/11/13,currently-reading,currently-reading (#291),currently-reading,,,,1,0
109238891,Code Red (Mitch Rapp #22),Kyle Mills,"Mills, Kyle",Vince Flynn,"=""""","=""""",0,4.42,Atria/Emily Bestler Books,Kindle Edition,384,2023,2023,,2023/11/02,currently-reading,currently-reading (#290),currently-reading,,,,1,0
188878397,Web3: Charting the Internet's Next Economic and Cultural Frontier,Alex Tapscott,"Tapscott, Alex",,"=""0063299968""","=""9780063299962""",0,3.76,Harper Business,Kindle Edition,336,2023,,,2023/10/18,currently-reading,currently-reading (#289),currently-reading,,,,1,0
75665850,Clear Thinking: Turning Ordinary Moments into Extraordinary Results,Shane Parrish,"Parrish, Shane",,"=""0593086112""","=""9780593086124""",0,4.23,Portfolio,Kindle Edition,284,2023,,,2023/10/11,currently-reading,currently-reading (#288),currently-reading,,,,1,0
128576714,"Level Up: How to Get Focused, Stop Procrastinating, and Upgrade Your Life",Rob Dial,"Dial, Rob",,"=""0063224739""","=""9780063224735""",0,4.58,HarperOne,Kindle Edition,256,2023,2023,,2023/10/11,currently-reading,currently-reading (#287),currently-reading,,,,1,0
